PartID,BricksetUrl,DesignID,Name,Image,45544,45560,31313,Over/Under,Not needed,PPU
4246901,http://brickset.com/parts/4246901,50951,,,,,2,-2,,
6024109,http://brickset.com/parts/6024109,53550,,,,,1,-1,,
6024106,http://brickset.com/parts/6024106,54271,,,,,1,-1,,
4545430,http://brickset.com/parts/4545430,54821,,,,,3,-3,,
4499858,http://brickset.com/parts/4499858,55013,,,2,6,6,2,,
4296059,http://brickset.com/parts/4296059,55615,,,4,4,,8,,
4490127,http://brickset.com/parts/4490127,55982,,,,5,,5,,
4297210,http://brickset.com/parts/4297210,56145,,,,3,,3,,
4299389,http://brickset.com/parts/4299389,56145,,,,,4,-4,,
4634091,http://brickset.com/parts/4634091,56908,,,2,2,,4,,
4582792,http://brickset.com/parts/4582792,57519,,,4,2,,6,,
4615232,http://brickset.com/parts/4615232,57539,,,,2,,2,,
4502595,http://brickset.com/parts/4502595,57585,,,2,,1,1,,
4508553,http://brickset.com/parts/4508553,59426,,,,4,2,2,,
4513174,http://brickset.com/parts/4513174,59443,,,6,4,3,7,,
4552347,http://brickset.com/parts/4552347,60484,,,4,2,4,2,,
4535768,http://brickset.com/parts/4535768,60485,,,2,5,1,6,,
6015596,http://brickset.com/parts/6015596,61070,,,,,1,-1,,
6015597,http://brickset.com/parts/6015597,61071,,,,,1,-1,,
4525904,http://brickset.com/parts/4525904,61903,,,,2,,2,,
4526985,http://brickset.com/parts/4526985,62462,,,4,2,2,4,,
4525184,http://brickset.com/parts/4525184,62821,,,,1,,1,,
4538007,http://brickset.com/parts/4538007,63869,,,6,2,2,6,,
4540797,http://brickset.com/parts/4540797,64178,,,1,6,2,5,,
4539880,http://brickset.com/parts/4539880,64179,,,3,9,2,10,,
4544720,http://brickset.com/parts/4544720,64288,,,,4,,4,,
4645732,http://brickset.com/parts/4645732,64289,,,,,8,-8,,
4562805,http://brickset.com/parts/4562805,64290,,,,,4,-4,X,
4611705,http://brickset.com/parts/4611705,64290,,,4,6,,10,,
4541325,http://brickset.com/parts/4541325,64391,,,,2,,2,,
4547582,http://brickset.com/parts/4547582,64391,,,,,3,-3,,
4541326,http://brickset.com/parts/4541326,64392,,,1,,,1,,
4558731,http://brickset.com/parts/4558731,64393,,,,1,,1,,
4558797,http://brickset.com/parts/4558797,64393,,,,,3,-3,,
4558775,http://brickset.com/parts/4558775,64394,,,,1,,1,,
4558740,http://brickset.com/parts/4558740,64680,,,,1,,1,,
4558774,http://brickset.com/parts/4558774,64681,,,,1,,1,,
4558802,http://brickset.com/parts/4558802,64681,,,,,3,-3,,
4543490,http://brickset.com/parts/4543490,64682,,,1,,,1,,
4541924,http://brickset.com/parts/4541924,64683,,,,2,,2,,
4547581,http://brickset.com/parts/4547581,64683,,,,,3,-3,,
4540906,http://brickset.com/parts/4540906,64781,,,,2,,2,,
4542573,http://brickset.com/parts/4542573,64871,,,,,4,-4,X,
4542578,http://brickset.com/parts/4542578,64871,,,6,13,,19,,
6014051,http://brickset.com/parts/6014051,72156,,,,,1,-1,,
6006140,http://brickset.com/parts/6006140,74695,,,4,6,10,0,,
4544140,http://brickset.com/parts/4544140,85543,,,,2,,2,,
4544143,http://brickset.com/parts/4544143,85544,,,,2,1,1,,
4544147,http://brickset.com/parts/4544147,85545,,,,2,,2,,
4544151,http://brickset.com/parts/4544151,85546,,,,2,,2,,
4566251,http://brickset.com/parts/4566251,87080,,,1,1,,2,,
4560175,http://brickset.com/parts/4560175,87082,,,4,2,6,0,,
4560177,http://brickset.com/parts/4560177,87083,,,2,8,4,6,,
4566249,http://brickset.com/parts/4566249,87086,,,1,1,,2,,
4558690,http://brickset.com/parts/4558690,87407,,,,2,,2,,
4558692,http://brickset.com/parts/4558692,87408,,,,1,1,0,,
6014648,http://brickset.com/parts/6014648,88323,,,54,5,,59,,
4639695,http://brickset.com/parts/4639695,89201,,,,2,,2,,
4610374,http://brickset.com/parts/4610374,92906,,,,2,,2,,
4630114,http://brickset.com/parts/4630114,92907,,,,,2,-2,,
4610377,http://brickset.com/parts/4610377,92908,,,,2,,2,,
4610378,http://brickset.com/parts/4610378,92909,,,,2,,2,,
4610379,http://brickset.com/parts/4610379,92910,,,,1,,1,,
4610380,http://brickset.com/parts/4610380,92911,,,1,1,,2,,
4640536,http://brickset.com/parts/4640536,94925,,,4,,,4,,
6009996,http://brickset.com/parts/6009996,95646,,,1,,1,0,,
6008472,http://brickset.com/parts/6008472,95648,,,2,,1,1,,
6008919,http://brickset.com/parts/6008919,95650,,,1,,1,0,,
6008924,http://brickset.com/parts/6008924,95652,,,1,,,1,,
6009811,http://brickset.com/parts/6009811,95654,,,,,1,-1,,
6012820,http://brickset.com/parts/6012820,95656,,,1,,,1,,
6009430,http://brickset.com/parts/6009430,95658,,,2,,2,0,,
4646864,http://brickset.com/parts/4646864,98138,,,,6,,6,,
4656205,http://brickset.com/parts/4656205,98347,,,,,4,-4,,
4657296,http://brickset.com/parts/4657296,98568,,,,,6,-6,,
6027626,http://brickset.com/parts/6027626,98578,,,,2,,2,,
4654432,http://brickset.com/parts/4654432,98585,,,,2,,2,,
4652234,http://brickset.com/parts/4652234,98989,,,,3,,3,,
4666999,http://brickset.com/parts/4666999,99008,,,,2,3,-1,,
4652235,http://brickset.com/parts/4652235,99009,,,2,,,2,,
4652236,http://brickset.com/parts/4652236,99010,,,2,,,2,,
6008916,http://brickset.com/parts/6008916,99380,,,1,,,1,,
6008577,http://brickset.com/parts/6008577,99455,,,1,,1,0,,
6009019,http://brickset.com/parts/6009019,99773,,,4,5,,9,,
6023956,http://brickset.com/parts/6023956,,,,1,,,1,,
6024581,http://brickset.com/parts/6024581,,,,4,,4,0,,
6024583,http://brickset.com/parts/6024583,,,,2,,2,0,,
6024585,http://brickset.com/parts/6024585,,,,1,,1,0,,
6036901,http://brickset.com/parts/6036901,,,,1,,1,0,,
